,Nazwa stanowiska,Nazwa firmy,Lokalizacja,Wynagrodzenie,Opis stanowiska
389,Scientist 1,Lloyds UK,Glasgow G51,Brak danych,Trouble-shoot data anomalies. Data modelling skills are required in order to manipulate data and undertake advanced statistical analysis....
390,Data Scientist,Quotient Limited,Exeter,Brak danych,Ability to analyse and interpret complex data produced in studies and write reports with relevant. The main responsibilities will include:....
391,London - Long Term Internship 2019 - Risk Function UK Chief of Staff,PRA Health Sciences,Southampton,Brak danych,"Clinical Data Scientist. The Clinical Data Scientist will assess trial compliance, perform trending analysis, exploratory data reviews and report findings to..."
392,Bioinformatician (Data Analyst) (Fixed Term),Mimecast,United Kingdom,Brak danych,Junior Data Scientist – Mimecast CityPoint London. Data visualisation. Big Data platforms. Commercial or open source data analysis tools....
393,Data Scientist - Corporate Real Estate,Deutsche Bank,Manchester,Brak danych,Risk Data Scientist. Working on Data Science infrastructure to support AI and ML. The Risk Data Science team is a new group formed recently to address Data...
394,Data Scientist,Virgin Holidays,London,Brak danych,Do you get excited about data sets? Like to make this data live on in your vision? We would love you to have an awareness of cloud infrastructure and...
395,Data Scientist - Wind Energy,Veea Group,England,Brak danych,"Rethinking and optimising the ETL logic, refining raw data and building suitable data architecture for analytics and reporting, building new data pipes and..."
397,Data Scientist,NetRev,Cheltenham,Brak danych,"Rethinking and optimising the ETL logic, refining raw data and building suitable data architecture for analytics and reporting, building new data pipes and..."
399,Data Scientist at Oxford AI startup,Oldbaum Services Ltd,Glasgow G51,Brak danych,"Data analysis, data collection, report writing, numerical analysis, client facing, outdoor technical work, presentations...."
400,Data Scientist,DeepReason.ai,Exeter,Brak danych,"Data Science:. You are a motivated data scientist, keen to apply your expertise to challenging real-world applications and high-performance AI software systems...."
401,DATA SCIENTIST,Micro Focus,Southampton,Brak danych,"Data Scientist. Data scientists will be working with a team of technical experts on the development of a scalable, real time, big data analytics solutions with..."
402,Junior Data Scientist,Williams Lea,United Kingdom,Brak danych,Data Scientist. Williams Lea seeks a Data Scientist to join our team!*. As the Data Scientist work with stakeholders throughout the organisation (product...
403,Senior Data Scientist,Veea Group,Manchester,Brak danych,"Rethinking and optimising the ETL logic, refining raw data and building suitable data architecture for analytics and reporting, building new data pipes and..."
404,Data Scientist with European Travel,East of England Co-operative Society,London,Brak danych,We are recruiting for an Apprentice Data Scientist to work in our Business Information Development team. This is a brand-new role that would suit someone who is...
405,Senior Data Scientist,Williams Lea,England,Brak danych,Data Scientist. Williams Lea seeks a Data Scientist to join our team!*. As the Data Scientist work with stakeholders throughout the organisation (product...
406,Associate Scientist - Viral Cell Line Development,"change, grow, live",United Kingdom,Brak danych,We are expanding our information team with the recruitment of a Junior Data Scientist who will play an instrumental role in transforming our analytical...
407,Data Scientist / ML Engineer,Ubisoft,Cheltenham,Brak danych,Data visualisation:. Undertake data analysis tasks under the supervision of another Data Analyst. Comfortable with turning raw data into understandable insights...
408,Assistant Bacteriology Scientist,Lloyds UK,United Kingdom,Brak danych,Trouble-shoot data anomalies. Data modelling skills are required in order to manipulate data and undertake advanced statistical analysis....
409,Research Scientist/ Senior Scientist- In vitro Assay,Quotient Limited,Glasgow G51,Brak danych,Ability to analyse and interpret complex data produced in studies and write reports with relevant. The main responsibilities will include:....
410,Global Data - Data Scientist - Funds & Portfolios,PRA Health Sciences,Exeter,Brak danych,"Clinical Data Scientist. The Clinical Data Scientist will assess trial compliance, perform trending analysis, exploratory data reviews and report findings to..."
411,Lead Data Scientist – Publications,Mimecast,Southampton,Brak danych,Junior Data Scientist – Mimecast CityPoint London. Data visualisation. Big Data platforms. Commercial or open source data analysis tools....
412,Data Scientist,Deutsche Bank,United Kingdom,Brak danych,Risk Data Scientist. Working on Data Science infrastructure to support AI and ML. The Risk Data Science team is a new group formed recently to address Data...
413,Data Scientist- Permanent - Edinburgh,Virgin Holidays,Manchester,Brak danych,Do you get excited about data sets? Like to make this data live on in your vision? We would love you to have an awareness of cloud infrastructure and...
415,Data Scientist - Wind Energy,GoCompare,England,Brak danych,"GoCo has a sophisticated Azure Cloud-based group data platform that incoporates a data factory to orchestrate data distribution, a data lake, and a data..."
417,Graduate / Junior Data Scientist,Welsh Water,Cheltenham,Brak danych,"As a Data Scientist, you will contribute substantially to the analytical capability of the Data Team, and the wider organisation. Band 7 (£36,710 - £42,215)...."
419,Data Scientist,DeepReason.ai,Glasgow G51,Brak danych,"Data Science:. You are a motivated data scientist, keen to apply your expertise to challenging real-world applications and high-performance AI software systems...."
420,DATA SCIENTIST,Micro Focus,Exeter,Brak danych,"Data Scientist. Data scientists will be working with a team of technical experts on the development of a scalable, real time, big data analytics solutions with..."
421,Junior Data Scientist,Williams Lea,Southampton,Brak danych,Data Scientist. Williams Lea seeks a Data Scientist to join our team!*. As the Data Scientist work with stakeholders throughout the organisation (product...
423,CRM Data Scientist,East of England Co-operative Society,Manchester,Brak danych,We are recruiting for an Apprentice Data Scientist to work in our Business Information Development team. This is a brand-new role that would suit someone who is...
424,Lithium-Sulfur Anode Research Scientist,Williams Lea,London,Brak danych,Data Scientist. Williams Lea seeks a Data Scientist to join our team!*. As the Data Scientist work with stakeholders throughout the organisation (product...
425,Data Scientist (AI / ML),"change, grow, live",England,Brak danych,We are expanding our information team with the recruitment of a Junior Data Scientist who will play an instrumental role in transforming our analytical...
426,Bayesian Data Scientist - London,Ubisoft,United Kingdom,Brak danych,Data visualisation:. Undertake data analysis tasks under the supervision of another Data Analyst. Comfortable with turning raw data into understandable insights...
427,Data Scientist - Wind Energy,Lloyds UK,Cheltenham,Brak danych,Trouble-shoot data anomalies. Data modelling skills are required in order to manipulate data and undertake advanced statistical analysis....
428,Senior Data Scientist,Quotient Limited,United Kingdom,Brak danych,Ability to analyse and interpret complex data produced in studies and write reports with relevant. The main responsibilities will include:....
429,Senior Pharmacovigilance Scientist,PRA Health Sciences,Glasgow G51,Brak danych,"Clinical Data Scientist. The Clinical Data Scientist will assess trial compliance, perform trending analysis, exploratory data reviews and report findings to..."
430,"Data Scientist, Legal",Mimecast,Exeter,Brak danych,Junior Data Scientist – Mimecast CityPoint London. Data visualisation. Big Data platforms. Commercial or open source data analysis tools....
431,Pharmacovigilance Scientist/Safety Evaluation and Risk Management Scientist,Deutsche Bank,Southampton,Brak danych,Risk Data Scientist. Working on Data Science infrastructure to support AI and ML. The Risk Data Science team is a new group formed recently to address Data...
432,Data Scientist/Quantitative Analyst,Virgin Holidays,United Kingdom,Brak danych,Do you get excited about data sets? Like to make this data live on in your vision? We would love you to have an awareness of cloud infrastructure and...
433,Data Scientist,Veea Group,Manchester,Brak danych,"Rethinking and optimising the ETL logic, refining raw data and building suitable data architecture for analytics and reporting, building new data pipes and..."
434,Data Scientist - Wind Energy,GoCompare,London,Brak danych,"GoCo has a sophisticated Azure Cloud-based group data platform that incoporates a data factory to orchestrate data distribution, a data lake, and a data..."
435,Data Scientist,NetRev,England,Brak danych,"Rethinking and optimising the ETL logic, refining raw data and building suitable data architecture for analytics and reporting, building new data pipes and..."
436,Graduate / Junior Data Scientist,Welsh Water,United Kingdom,Brak danych,"As a Data Scientist, you will contribute substantially to the analytical capability of the Data Team, and the wider organisation. Band 7 (£36,710 - £42,215)...."
437,Data Scientist at Oxford AI startup,Oldbaum Services Ltd,Cheltenham,Brak danych,"Data analysis, data collection, report writing, numerical analysis, client facing, outdoor technical work, presentations...."
439,DATA SCIENTIST,Micro Focus,Glasgow G51,Brak danych,"Data Scientist. Data scientists will be working with a team of technical experts on the development of a scalable, real time, big data analytics solutions with..."
440,Junior Data Scientist,Williams Lea,Exeter,Brak danych,Data Scientist. Williams Lea seeks a Data Scientist to join our team!*. As the Data Scientist work with stakeholders throughout the organisation (product...
441,Senior Data Scientist,Veea Group,Southampton,Brak danych,"Rethinking and optimising the ETL logic, refining raw data and building suitable data architecture for analytics and reporting, building new data pipes and..."
442,Senior Scientist I - Data Science,East of England Co-operative Society,United Kingdom,Brak danych,We are recruiting for an Apprentice Data Scientist to work in our Business Information Development team. This is a brand-new role that would suit someone who is...
443,Business Analyst,Williams Lea,Manchester,Brak danych,Data Scientist. Williams Lea seeks a Data Scientist to join our team!*. As the Data Scientist work with stakeholders throughout the organisation (product...
444,Data Scientist,"change, grow, live",London,Brak danych,We are expanding our information team with the recruitment of a Junior Data Scientist who will play an instrumental role in transforming our analytical...
445,Associate Scientist -Packaging Development,Ubisoft,England,Brak danych,Data visualisation:. Undertake data analysis tasks under the supervision of another Data Analyst. Comfortable with turning raw data into understandable insights...
446,Data Scientist - Commercial Team,Lloyds UK,United Kingdom,Brak danych,Trouble-shoot data anomalies. Data modelling skills are required in order to manipulate data and undertake advanced statistical analysis....
447,Data Scientist,Quotient Limited,Cheltenham,Brak danych,Ability to analyse and interpret complex data produced in studies and write reports with relevant. The main responsibilities will include:....
448,Data Scientist,PRA Health Sciences,United Kingdom,Brak danych,"Clinical Data Scientist. The Clinical Data Scientist will assess trial compliance, perform trending analysis, exploratory data reviews and report findings to..."
449,Data Scientist (Cyber Security),Mimecast,Glasgow G51,Brak danych,Junior Data Scientist – Mimecast CityPoint London. Data visualisation. Big Data platforms. Commercial or open source data analysis tools....
450,Senior Data Scientist,Deutsche Bank,Exeter,Brak danych,Risk Data Scientist. Working on Data Science infrastructure to support AI and ML. The Risk Data Science team is a new group formed recently to address Data...
451,Healthcare Science Assistant,Virgin Holidays,Southampton,Brak danych,Do you get excited about data sets? Like to make this data live on in your vision? We would love you to have an awareness of cloud infrastructure and...
452,Data Scientist,Veea Group,United Kingdom,Brak danych,"Rethinking and optimising the ETL logic, refining raw data and building suitable data architecture for analytics and reporting, building new data pipes and..."
453,Data Scientist - Wind Energy,GoCompare,Manchester,Brak danych,"GoCo has a sophisticated Azure Cloud-based group data platform that incoporates a data factory to orchestrate data distribution, a data lake, and a data..."
455,Graduate / Junior Data Scientist,Welsh Water,England,Brak danych,"As a Data Scientist, you will contribute substantially to the analytical capability of the Data Team, and the wider organisation. Band 7 (£36,710 - £42,215)...."
457,Data Scientist,DeepReason.ai,Cheltenham,Brak danych,"Data Science:. You are a motivated data scientist, keen to apply your expertise to challenging real-world applications and high-performance AI software systems...."
458,DATA SCIENTIST,Micro Focus,United Kingdom,Brak danych,"Data Scientist. Data scientists will be working with a team of technical experts on the development of a scalable, real time, big data analytics solutions with..."
459,Data Scientist,Williams Lea,Glasgow G51,Brak danych,Data Scientist. Williams Lea seeks a Data Scientist to join our team!*. As the Data Scientist work with stakeholders throughout the organisation (product...
460,Graduate / Junior Data Scientist,Veea Group,Exeter,Brak danych,"Rethinking and optimising the ETL logic, refining raw data and building suitable data architecture for analytics and reporting, building new data pipes and..."
461,Senior Data Scientist,East of England Co-operative Society,Southampton,Brak danych,We are recruiting for an Apprentice Data Scientist to work in our Business Information Development team. This is a brand-new role that would suit someone who is...
462,(Junior) Data Analyst,Williams Lea,United Kingdom,Brak danych,Data Scientist. Williams Lea seeks a Data Scientist to join our team!*. As the Data Scientist work with stakeholders throughout the organisation (product...
463,Graduate Data Analysis,"change, grow, live",Manchester,Brak danych,We are expanding our information team with the recruitment of a Junior Data Scientist who will play an instrumental role in transforming our analytical...
464,Data Scientist,Ubisoft,London,Brak danych,Data visualisation:. Undertake data analysis tasks under the supervision of another Data Analyst. Comfortable with turning raw data into understandable insights...
465,Development Scientist (Mammalian Bioprocessing),Lloyds UK,England,Brak danych,Trouble-shoot data anomalies. Data modelling skills are required in order to manipulate data and undertake advanced statistical analysis....
466,Graduate Data Scientist,Quotient Limited,United Kingdom,Brak danych,Ability to analyse and interpret complex data produced in studies and write reports with relevant. The main responsibilities will include:....
467,Scientist (Target 2019),PRA Health Sciences,Cheltenham,Brak danych,"Clinical Data Scientist. The Clinical Data Scientist will assess trial compliance, perform trending analysis, exploratory data reviews and report findings to..."
468,Data Scientist,Mimecast,United Kingdom,Brak danych,Junior Data Scientist – Mimecast CityPoint London. Data visualisation. Big Data platforms. Commercial or open source data analysis tools....
469,Data Science Intern,Deutsche Bank,Glasgow G51,Brak danych,Risk Data Scientist. Working on Data Science infrastructure to support AI and ML. The Risk Data Science team is a new group formed recently to address Data...
470,Data Scientist,Virgin Holidays,Exeter,Brak danych,Do you get excited about data sets? Like to make this data live on in your vision? We would love you to have an awareness of cloud infrastructure and...
471,Data Scientist - Wind Energy,Veea Group,Southampton,Brak danych,"Rethinking and optimising the ETL logic, refining raw data and building suitable data architecture for analytics and reporting, building new data pipes and..."
473,Junior Data Scientist,NetRev,Manchester,Brak danych,"Rethinking and optimising the ETL logic, refining raw data and building suitable data architecture for analytics and reporting, building new data pipes and..."
474,Apprentice Data Scientist - 10010685,Welsh Water,London,Brak danych,"As a Data Scientist, you will contribute substantially to the analytical capability of the Data Team, and the wider organisation. Band 7 (£36,710 - £42,215)...."
475,Data Scientist,Oldbaum Services Ltd,England,Brak danych,"Data analysis, data collection, report writing, numerical analysis, client facing, outdoor technical work, presentations...."
477,Data Scientist - Wind Energy,Micro Focus,Cheltenham,Brak danych,"Data Scientist. Data scientists will be working with a team of technical experts on the development of a scalable, real time, big data analytics solutions with..."
478,Apprentice Data Scientist - 10010685,Williams Lea,United Kingdom,Brak danych,Data Scientist. Williams Lea seeks a Data Scientist to join our team!*. As the Data Scientist work with stakeholders throughout the organisation (product...
479,Development Scientist,Veea Group,Glasgow G51,Brak danych,"Rethinking and optimising the ETL logic, refining raw data and building suitable data architecture for analytics and reporting, building new data pipes and..."
480,Data Scientist,East of England Co-operative Society,Exeter,Brak danych,We are recruiting for an Apprentice Data Scientist to work in our Business Information Development team. This is a brand-new role that would suit someone who is...
481,Data Scientist,Williams Lea,Southampton,Brak danych,Data Scientist. Williams Lea seeks a Data Scientist to join our team!*. As the Data Scientist work with stakeholders throughout the organisation (product...
482,Scientist (Target 2019),"change, grow, live",United Kingdom,Brak danych,We are expanding our information team with the recruitment of a Junior Data Scientist who will play an instrumental role in transforming our analytical...
484,Research Scientist Bacteriology,Lloyds UK,London,Brak danych,Trouble-shoot data anomalies. Data modelling skills are required in order to manipulate data and undertake advanced statistical analysis....
485,Data Scientist,Quotient Limited,England,Brak danych,Ability to analyse and interpret complex data produced in studies and write reports with relevant. The main responsibilities will include:....
486,Football Data Scientist,PRA Health Sciences,United Kingdom,Brak danych,"Clinical Data Scientist. The Clinical Data Scientist will assess trial compliance, perform trending analysis, exploratory data reviews and report findings to..."
487,Graduate Data Analyst,Mimecast,Cheltenham,Brak danych,Junior Data Scientist – Mimecast CityPoint London. Data visualisation. Big Data platforms. Commercial or open source data analysis tools....
488,Data Scientist / Operational Research Specialist,Deutsche Bank,United Kingdom,Brak danych,Risk Data Scientist. Working on Data Science infrastructure to support AI and ML. The Risk Data Science team is a new group formed recently to address Data...
489,Data Scientist at Oxford AI startup,Virgin Holidays,Glasgow G51,Brak danych,Do you get excited about data sets? Like to make this data live on in your vision? We would love you to have an awareness of cloud infrastructure and...
490,DATA SCIENTIST,Veea Group,Exeter,Brak danych,"Rethinking and optimising the ETL logic, refining raw data and building suitable data architecture for analytics and reporting, building new data pipes and..."
491,Junior Data Scientist,GoCompare,Southampton,Brak danych,"GoCo has a sophisticated Azure Cloud-based group data platform that incoporates a data factory to orchestrate data distribution, a data lake, and a data..."
495,Data Scientist at Oxford AI startup,DeepReason.ai,England,Brak danych,"Data Science:. You are a motivated data scientist, keen to apply your expertise to challenging real-world applications and high-performance AI software systems...."
496,Junior Data Scientist,Micro Focus,United Kingdom,Brak danych,"Data Scientist. Data scientists will be working with a team of technical experts on the development of a scalable, real time, big data analytics solutions with..."
497,Data Scientist,Williams Lea,Cheltenham,Brak danych,Data Scientist. Williams Lea seeks a Data Scientist to join our team!*. As the Data Scientist work with stakeholders throughout the organisation (product...
499,Data Scientist,East of England Co-operative Society,Glasgow G51,Brak danych,We are recruiting for an Apprentice Data Scientist to work in our Business Information Development team. This is a brand-new role that would suit someone who is...
500,Scientist,Williams Lea,Exeter,Brak danych,Data Scientist. Williams Lea seeks a Data Scientist to join our team!*. As the Data Scientist work with stakeholders throughout the organisation (product...
501,Data Scientist - QuantumBlack,"change, grow, live",Southampton,Brak danych,We are expanding our information team with the recruitment of a Junior Data Scientist who will play an instrumental role in transforming our analytical...
502,Formulation Scientist,Ubisoft,United Kingdom,Brak danych,Data visualisation:. Undertake data analysis tasks under the supervision of another Data Analyst. Comfortable with turning raw data into understandable insights...
503,Senior Data Scientist,Lloyds UK,Manchester,Brak danych,Trouble-shoot data anomalies. Data modelling skills are required in order to manipulate data and undertake advanced statistical analysis....
504,Senior Data Scientist,Quotient Limited,London,Brak danych,Ability to analyse and interpret complex data produced in studies and write reports with relevant. The main responsibilities will include:....
505,Data Science Engineer,PRA Health Sciences,England,Brak danych,"Clinical Data Scientist. The Clinical Data Scientist will assess trial compliance, perform trending analysis, exploratory data reviews and report findings to..."
506,Chief Data Scientist,Mimecast,United Kingdom,Brak danych,Junior Data Scientist – Mimecast CityPoint London. Data visualisation. Big Data platforms. Commercial or open source data analysis tools....
507,Senior Data Scientist,Deutsche Bank,Cheltenham,Brak danych,Risk Data Scientist. Working on Data Science infrastructure to support AI and ML. The Risk Data Science team is a new group formed recently to address Data...
508,Senior Data Scientist,Virgin Holidays,United Kingdom,Brak danych,Do you get excited about data sets? Like to make this data live on in your vision? We would love you to have an awareness of cloud infrastructure and...
509,Data Scientist - Proagrica - Sutton,Veea Group,Glasgow G51,Brak danych,"Rethinking and optimising the ETL logic, refining raw data and building suitable data architecture for analytics and reporting, building new data pipes and..."
510,Apprentice Data Scientist - 10010685,GoCompare,Exeter,Brak danych,"GoCo has a sophisticated Azure Cloud-based group data platform that incoporates a data factory to orchestrate data distribution, a data lake, and a data..."
511,DATA SCIENTIST,NetRev,Southampton,Brak danych,"Rethinking and optimising the ETL logic, refining raw data and building suitable data architecture for analytics and reporting, building new data pipes and..."
512,Data Scientist,Welsh Water,United Kingdom,Brak danych,"As a Data Scientist, you will contribute substantially to the analytical capability of the Data Team, and the wider organisation. Band 7 (£36,710 - £42,215)...."
513,Data Scientist,Oldbaum Services Ltd,Manchester,Brak danych,"Data analysis, data collection, report writing, numerical analysis, client facing, outdoor technical work, presentations...."
514,Data Scientist - Wind Energy,DeepReason.ai,London,Brak danych,"Data Science:. You are a motivated data scientist, keen to apply your expertise to challenging real-world applications and high-performance AI software systems...."
515,Graduate / Junior Data Scientist,Micro Focus,England,Brak danych,"Data Scientist. Data scientists will be working with a team of technical experts on the development of a scalable, real time, big data analytics solutions with..."
517,Data Scientist,Veea Group,Cheltenham,Brak danych,"Rethinking and optimising the ETL logic, refining raw data and building suitable data architecture for analytics and reporting, building new data pipes and..."
518,Data Scientist at Oxford AI startup,East of England Co-operative Society,United Kingdom,Brak danych,We are recruiting for an Apprentice Data Scientist to work in our Business Information Development team. This is a brand-new role that would suit someone who is...
520,Data Scientist,"change, grow, live",Exeter,Brak danych,We are expanding our information team with the recruitment of a Junior Data Scientist who will play an instrumental role in transforming our analytical...
521,Senior Data Scientist,Ubisoft,Southampton,Brak danych,Data visualisation:. Undertake data analysis tasks under the supervision of another Data Analyst. Comfortable with turning raw data into understandable insights...
522,Data Scientist,Lloyds UK,United Kingdom,Brak danych,Trouble-shoot data anomalies. Data modelling skills are required in order to manipulate data and undertake advanced statistical analysis....
523,Data Engineer,Quotient Limited,Manchester,Brak danych,Ability to analyse and interpret complex data produced in studies and write reports with relevant. The main responsibilities will include:....
524,Data Scientist,PRA Health Sciences,London,Brak danych,"Clinical Data Scientist. The Clinical Data Scientist will assess trial compliance, perform trending analysis, exploratory data reviews and report findings to..."
525,Data Scientist / Analyst Internship,Mimecast,England,Brak danych,Junior Data Scientist – Mimecast CityPoint London. Data visualisation. Big Data platforms. Commercial or open source data analysis tools....
526,"Data Scientist, Defence and Security, Consulting, London and Regions",Deutsche Bank,United Kingdom,Brak danych,Risk Data Scientist. Working on Data Science infrastructure to support AI and ML. The Risk Data Science team is a new group formed recently to address Data...
527,Data Scientist,Virgin Holidays,Cheltenham,Brak danych,Do you get excited about data sets? Like to make this data live on in your vision? We would love you to have an awareness of cloud infrastructure and...
529,DATA SCIENTIST,GoCompare,Glasgow G51,Brak danych,"GoCo has a sophisticated Azure Cloud-based group data platform that incoporates a data factory to orchestrate data distribution, a data lake, and a data..."
530,Junior Data Scientist,NetRev,Exeter,Brak danych,"Rethinking and optimising the ETL logic, refining raw data and building suitable data architecture for analytics and reporting, building new data pipes and..."
531,Senior Data Scientist,Welsh Water,Southampton,Brak danych,"As a Data Scientist, you will contribute substantially to the analytical capability of the Data Team, and the wider organisation. Band 7 (£36,710 - £42,215)...."
533,Data Scientist at Oxford AI startup,DeepReason.ai,Manchester,Brak danych,"Data Science:. You are a motivated data scientist, keen to apply your expertise to challenging real-world applications and high-performance AI software systems...."
534,Junior Data Scientist,Micro Focus,London,Brak danych,"Data Scientist. Data scientists will be working with a team of technical experts on the development of a scalable, real time, big data analytics solutions with..."
535,Data Scientist,Williams Lea,England,Brak danych,Data Scientist. Williams Lea seeks a Data Scientist to join our team!*. As the Data Scientist work with stakeholders throughout the organisation (product...
537,Data Scientist,East of England Co-operative Society,Cheltenham,Brak danych,We are recruiting for an Apprentice Data Scientist to work in our Business Information Development team. This is a brand-new role that would suit someone who is...
538,Data Scientist - Financial Crime,Williams Lea,United Kingdom,Brak danych,Data Scientist. Williams Lea seeks a Data Scientist to join our team!*. As the Data Scientist work with stakeholders throughout the organisation (product...
539,Statistical Genomics Scientist,"change, grow, live",Glasgow G51,Brak danych,We are expanding our information team with the recruitment of a Junior Data Scientist who will play an instrumental role in transforming our analytical...
540,Data Scientist,Ubisoft,Exeter,Brak danych,Data visualisation:. Undertake data analysis tasks under the supervision of another Data Analyst. Comfortable with turning raw data into understandable insights...
541,Data Scientist,Lloyds UK,Southampton,Brak danych,Trouble-shoot data anomalies. Data modelling skills are required in order to manipulate data and undertake advanced statistical analysis....
542,Epidemiological Scientist / Epidemiological Scientist (Advanced),Quotient Limited,United Kingdom,Brak danych,Ability to analyse and interpret complex data produced in studies and write reports with relevant. The main responsibilities will include:....
543,Data Scientist,PRA Health Sciences,Manchester,Brak danych,"Clinical Data Scientist. The Clinical Data Scientist will assess trial compliance, perform trending analysis, exploratory data reviews and report findings to..."
544,Artificial Intelligence Research Scientist,Mimecast,London,Brak danych,Junior Data Scientist – Mimecast CityPoint London. Data visualisation. Big Data platforms. Commercial or open source data analysis tools....
545,Clinical Data Manager,Deutsche Bank,England,Brak danych,Risk Data Scientist. Working on Data Science infrastructure to support AI and ML. The Risk Data Science team is a new group formed recently to address Data...
546,Data Scientist (predictive maintenance),Virgin Holidays,United Kingdom,Brak danych,Do you get excited about data sets? Like to make this data live on in your vision? We would love you to have an awareness of cloud infrastructure and...
547,Coastal Process Scientist (6 week placement) - P00077,Veea Group,Cheltenham,Brak danych,"Rethinking and optimising the ETL logic, refining raw data and building suitable data architecture for analytics and reporting, building new data pipes and..."
549,DATA SCIENTIST,NetRev,Glasgow G51,Brak danych,"Rethinking and optimising the ETL logic, refining raw data and building suitable data architecture for analytics and reporting, building new data pipes and..."
550,Data Scientist,Welsh Water,Exeter,Brak danych,"As a Data Scientist, you will contribute substantially to the analytical capability of the Data Team, and the wider organisation. Band 7 (£36,710 - £42,215)...."
551,Data Scientist,Oldbaum Services Ltd,Southampton,Brak danych,"Data analysis, data collection, report writing, numerical analysis, client facing, outdoor technical work, presentations...."
553,Apprentice Data Scientist - 10010685,Micro Focus,Manchester,Brak danych,"Data Scientist. Data scientists will be working with a team of technical experts on the development of a scalable, real time, big data analytics solutions with..."
555,Data Scientist,Veea Group,England,Brak danych,"Rethinking and optimising the ETL logic, refining raw data and building suitable data architecture for analytics and reporting, building new data pipes and..."
558,"Scientist, Cell Line Development","change, grow, live",United Kingdom,Brak danych,We are expanding our information team with the recruitment of a Junior Data Scientist who will play an instrumental role in transforming our analytical...
559,Machine Learning Engineer / Data Scientist,Ubisoft,Glasgow G51,Brak danych,Data visualisation:. Undertake data analysis tasks under the supervision of another Data Analyst. Comfortable with turning raw data into understandable insights...
560,Assay Development Scientist,Lloyds UK,Exeter,Brak danych,Trouble-shoot data anomalies. Data modelling skills are required in order to manipulate data and undertake advanced statistical analysis....
561,Formulation Scientist,Quotient Limited,Southampton,Brak danych,Ability to analyse and interpret complex data produced in studies and write reports with relevant. The main responsibilities will include:....
562,Data Scientist - [39 Hours],PRA Health Sciences,United Kingdom,Brak danych,"Clinical Data Scientist. The Clinical Data Scientist will assess trial compliance, perform trending analysis, exploratory data reviews and report findings to..."
563,Scientist,Mimecast,Manchester,Brak danych,Junior Data Scientist – Mimecast CityPoint London. Data visualisation. Big Data platforms. Commercial or open source data analysis tools....
564,Senior Data Scientist,Deutsche Bank,London,Brak danych,Risk Data Scientist. Working on Data Science infrastructure to support AI and ML. The Risk Data Science team is a new group formed recently to address Data...
565,Senior Data Scientist,Virgin Holidays,England,Brak danych,Do you get excited about data sets? Like to make this data live on in your vision? We would love you to have an awareness of cloud infrastructure and...
566,Data Analyst / Data Scientist - Mentor,Veea Group,United Kingdom,Brak danych,"Rethinking and optimising the ETL logic, refining raw data and building suitable data architecture for analytics and reporting, building new data pipes and..."
567,Data Scientist,GoCompare,Cheltenham,Brak danych,"GoCo has a sophisticated Azure Cloud-based group data platform that incoporates a data factory to orchestrate data distribution, a data lake, and a data..."
568,Junior Data Scientist,NetRev,United Kingdom,Brak danych,"Rethinking and optimising the ETL logic, refining raw data and building suitable data architecture for analytics and reporting, building new data pipes and..."
569,Data Scientist,Welsh Water,Glasgow G51,Brak danych,"As a Data Scientist, you will contribute substantially to the analytical capability of the Data Team, and the wider organisation. Band 7 (£36,710 - £42,215)...."
